[2018-01-15 22:59:02] irc: connecting to server chat.freenode.net/6667...
[2018-01-16 05:59:24] irc: connecting to server chat.freenode.net/6667...
[2018-01-16 08:20:45] irc: connecting to server chat.freenode.net/6667...
[2018-01-16 09:25:32] irc: connecting to server chat.freenode.net/6667...
[2018-01-16 09:25:52] irc: connecting to server chat.freenode.net/6667...
[2018-01-16 09:58:27] irc: connecting to server chat.freenode.net/6667...
[2018-01-16 09:58:52] irc: connecting to server chat.freenode.net/6667...
[2018-01-16 09:59:43] Terminal lost, exiting WeeChat...
[2018-01-16 09:59:44] Writing configuration file plugins.conf
[2018-01-16 09:59:44] Writing configuration file logger.conf
[2018-01-16 09:59:44] Writing configuration file trigger.conf
[2018-01-16 09:59:44] Writing configuration file alias.conf
[2018-01-16 09:59:44] Writing configuration file xfer.conf
[2018-01-16 09:59:44] Writing configuration file irc.conf
[2018-01-16 09:59:44] Writing configuration file script.conf
[2018-01-16 09:59:44] Writing configuration file aspell.conf
[2018-01-16 09:59:44] Signal SIGHUP received, exiting WeeChat...
[2018-01-16 09:59:45] Writing configuration file relay.conf
[2018-01-16 09:59:45] Writing configuration file exec.conf
[2018-01-16 09:59:45] Writing configuration file charset.conf
[2018-01-16 09:59:45] Writing configuration file weechat.conf
[2018-01-16 09:59:45] Writing configuration file sec.conf
